"Class","V.GENE.heavy","J.GENE.heavy","D.GENE.heavy","VJ.GENE.heavy","VJ.length.heavy","V.length.heavy","CDR1.length.aa.heavy","CDR2.length.aa.heavy","CDR3.length.aa.heavy","N1.length.heavy","N2.length.heavy","P3V.length.heavy","P5D.length.heavy","P3D.length.heavy","P5J.length.heavy","VJ.identity.heavy","p.mutation.heavy","V.Nb.mutations.heavy","V.Nb.Silent.mut.heavy","V.Nb.NoSilent.mut.heavy","V.dN.dS.Ratio.heavy","cdr1.cad.I.heavy","cdr1.cad.II.heavy","cdr1.cad.III.heavy","cdr1.cad.IV.heavy","cdr1.cad.V.heavy","cdr1.mean.cad.I.heavy","cdr1.mean.cad.II.heavy","cdr1.mean.cad.III.heavy","cdr1.mean.cad.IV.heavy","cdr1.mean.cad.V.heavy","cdr1.sd.cad.I.heavy","cdr1.sd.cad.II.heavy","cdr1.sd.cad.III.heavy","cdr1.sd.cad.IV.heavy","cdr1.sd.cad.V.heavy","cdr2.cad.I.heavy","cdr2.cad.II.heavy","cdr2.cad.III.heavy","cdr2.cad.IV.heavy","cdr2.cad.V.heavy","cdr2.mean.cad.I.heavy","cdr2.mean.cad.II.heavy","cdr2.mean.cad.III.heavy","cdr2.mean.cad.IV.heavy","cdr2.mean.cad.V.heavy","cdr2.sd.cad.I.heavy","cdr2.sd.cad.II.heavy","cdr2.sd.cad.III.heavy","cdr2.sd.cad.IV.heavy","cdr2.sd.cad.V.heavy","cdr3.cad.I.heavy","cdr3.cad.II.heavy","cdr3.cad.III.heavy","cdr3.cad.IV.heavy","cdr3.cad.V.heavy","cdr3.mean.cad.I.heavy","cdr3.mean.cad.II.heavy","cdr3.mean.cad.III.heavy","cdr3.mean.cad.IV.heavy","cdr3.mean.cad.V.heavy","cdr3.sd.cad.I.heavy","cdr3.sd.cad.II.heavy","cdr3.sd.cad.III.heavy","cdr3.sd.cad.IV.heavy","cdr3.sd.cad.V.heavy"
"Neutralizing","IGHV3-66","IGHJ6","IGHD1-14","IGHV3-66.IGHJ6",347,285,8,7,14,0,14,0,0,0,0,70.03,29.97,85,79,6,0.075949367,"-0.384;-1.337;-1.239;-1.337;-0.228;-0.228;0.945;0.26","1.652;-0.279;-0.547;-0.279;1.399;1.399;0.828;0.83","1.33;-0.544;2.131;-0.544;-4.76;-4.76;1.299;3.097","1.045;1.242;0.393;1.242;0.67;0.67;-0.169;-0.838","2.064;-1.262;0.816;-1.262;-2.647;-2.647;0.933;1.512",-0.4435,0.625375,-0.343875,0.531875,-0.311625,0.82364781,0.873754614,2.989265148,0.726742131,1.87098942,"-1.239;0.26;-0.228;-0.384;-0.384;-0.228;-0.032","-0.547;0.83;1.399;1.652;1.652;1.399;0.326","2.131;3.097;-4.76;1.33;1.33;-4.76;2.213","0.393;-0.838;0.67;1.045;1.045;0.67;0.908","0.816;1.512;-2.647;2.064;2.064;-2.647;1.313",-0.319285714,0.958714286,0.083,0.556142857,0.353571429,0.463505021,0.819864158,3.362407768,0.658020118,2.095005557,"-1.343;-0.591;1.538;1.05;-1.019;1.05;-1.337;-0.228;-0.384;-0.384;-0.663;1.05;-1.337;-0.595","0.465;-1.302;-0.055;0.302;-0.987;0.302;-0.279;1.399;1.652;1.652;-1.524;0.302;-0.279;0.009","-0.862;-0.733;1.502;-3.656;-1.505;-3.656;-0.544;-4.76;1.33;1.33;2.219;-3.656;-0.544;0.672","-1.02;1.57;0.44;-0.259;1.266;-0.259;1.242;0.67;1.045;1.045;-1.005;-0.259;1.242;-2.128","-0.255;-0.146;2.897;-3.242;-0.912;-3.242;-1.262;-2.647;2.064;2.064;1.212;-3.242;-1.262;-0.184",-0.228071429,0.118357143,-0.918785714,0.256428571,-0.582642857,0.994277122,0.994595597,2.257378438,1.103797899,2.081136103
"Neutralizing","IGHV1-18","IGHJ6","IGHD2-15","IGHV1-18.IGHJ6",350,288,8,8,25,1,4,0,0,0,0,98.86,1.14,2,1,1,1,"-0.384;0.26;-0.032;-1.006;-0.032;-0.228;0.26;-0.384","1.652;0.83;0.326;-0.59;0.326;1.399;0.83;1.652","1.33;3.097;2.213;1.891;2.213;-4.76;3.097;1.33","1.045;-0.838;0.908;-0.397;0.908;0.67;-0.838;1.045","2.064;1.512;1.313;0.412;1.313;-2.647;1.512;2.064",-0.19325,0.803125,1.301375,0.312875,0.942875,0.413593227,0.774023152,2.541097116,0.850281371,1.5401607,"-1.239;-0.228;-0.591;0.26;0.945;-0.384;0.945;-0.032","-0.547;1.399;-1.302;0.83;0.828;1.652;0.828;0.326","2.131;-4.76;-0.733;3.097;1.299;1.33;1.299;2.213","0.393;0.67;1.57;-0.838;-0.169;1.045;-0.169;0.908","0.816;-2.647;-0.146;1.512;0.933;2.064;0.933;1.313",-0.0405,0.50175,0.7345,0.42625,0.59725,0.74884616,0.988002133,2.47999447,0.782905897,1.456576588,"-1.343;-0.591;1.538;1.357;-0.384;0.26;-1.343;-0.228;-0.384;-0.384;-0.228;-1.343;0.26;-0.228;-0.384;0.26;0.26;0.26;0.26;0.26;-0.384;-0.663;1.05;-1.337;-0.595","0.465;-1.302;-0.055;-1.453;1.652;0.83;0.465;1.399;1.652;1.652;1.399;0.465;0.83;1.399;1.652;0.83;0.83;0.83;0.83;0.83;1.652;-1.524;0.302;-0.279;0.009","-0.862;-0.733;1.502;1.477;1.33;3.097;-0.862;-4.76;1.33;1.33;-4.76;-0.862;3.097;-4.76;1.33;3.097;3.097;3.097;3.097;3.097;1.33;2.219;-3.656;-0.544;0.672","-1.02;1.57;0.44;0.113;1.045;-0.838;-1.02;0.67;1.045;1.045;0.67;-1.02;-0.838;0.67;1.045;-0.838;-0.838;-0.838;-0.838;-0.838;1.045;-1.005;-0.259;1.242;-2.128","-0.255;-0.146;2.897;-0.837;2.064;1.512;-0.255;-2.647;2.064;2.064;-2.647;-0.255;1.512;-2.647;2.064;1.512;1.512;1.512;1.512;1.512;2.064;1.212;-3.242;-1.262;-0.184",-0.16216,0.6144,0.496,-0.06872,0.42544,0.773515227,0.954202416,2.614451297,1.011290328,1.787851506
"Neutralizing","IGHV3-66","IGHJ4","IGHD3-10","IGHV3-66.IGHJ4",333,285,8,7,15,6,2,0,0,0,0,98.8,1.2,3,0,3,Inf,"-0.384;-1.006;-0.032;-1.337;-0.228;-0.228;0.945;0.26","1.652;-0.59;0.326;-0.279;1.399;1.399;0.828;0.83","1.33;1.891;2.213;-0.544;-4.76;-4.76;1.299;3.097","1.045;-0.397;0.908;1.242;0.67;0.67;-0.169;-0.838","2.064;0.412;1.313;-1.262;-2.647;-2.647;0.933;1.512",-0.25125,0.695625,-0.02925,0.391375,-0.04025,0.70788069,0.817579518,3.096662985,0.757804335,1.886165555,"-1.239;0.26;-0.228;-0.384;-0.384;-0.228;-0.032","-0.547;0.83;1.399;1.652;1.652;1.399;0.326","2.131;3.097;-4.76;1.33;1.33;-4.76;2.213","0.393;-0.838;0.67;1.045;1.045;0.67;0.908","0.816;1.512;-2.647;2.064;2.064;-2.647;1.313",-0.319285714,0.958714286,0.083,0.556142857,0.353571429,0.463505021,0.819864158,3.362407768,0.658020118,2.095005557,"-1.343;-0.591;1.538;-1.337;-1.019;0.189;-0.663;0.26;-0.384;1.05;0.26;-1.019;1.05;0.26;-0.595","0.465;-1.302;-0.055;-0.279;-0.987;2.081;-1.524;0.83;1.652;0.302;0.83;-0.987;0.302;0.83;0.009","-0.862;-0.733;1.502;-0.544;-1.505;-1.628;2.219;3.097;1.33;-3.656;3.097;-1.505;-3.656;3.097;0.672","-1.02;1.57;0.44;1.242;1.266;0.421;-1.005;-0.838;1.045;-0.259;-0.838;1.266;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;-1.262;-0.912;-1.392;1.212;1.512;2.064;-3.242;1.512;-0.912;-3.242;1.512;-0.184",-0.156266667,0.144466667,0.061666667,0.004333333,-0.055866667,0.902415288,1.04399657,2.292955194,1.117882671,1.837474698
"Neutralizing","IGHV3-53","IGHJ6","IGHD5-24","IGHV3-53.IGHJ6",343,285,8,7,13,2,1,1,0,0,0,96.79,3.21,3,1,2,2,"-0.384;-1.019;-0.032;-1.337;-0.228;-0.228;0.945;0.26","1.652;-0.987;0.326;-0.279;1.399;1.399;0.828;0.83","1.33;-1.505;2.213;-0.544;-4.76;-4.76;1.299;3.097","1.045;1.266;0.908;1.242;0.67;0.67;-0.169;-0.838","2.064;-0.912;1.313;-1.262;-2.647;-2.647;0.933;1.512",-0.252875,0.646,-0.45375,0.59925,-0.20575,0.709872914,0.913216294,3.027826366,0.738493592,1.898858285,"-1.239;0.26;-0.228;-0.384;-0.384;-0.228;-0.032","-0.547;0.83;1.399;1.652;1.652;1.399;0.326","2.131;3.097;-4.76;1.33;1.33;-4.76;2.213","0.393;-0.838;0.67;1.045;1.045;0.67;0.908","0.816;1.512;-2.647;2.064;2.064;-2.647;1.313",-0.319285714,0.958714286,0.083,0.556142857,0.353571429,0.463505021,0.819864158,3.362407768,0.658020118,2.095005557,"-1.343;-0.591;1.538;1.05;-1.019;1.05;-1.337;0.26;-0.384;-1.019;1.05;-1.337;-0.595","0.465;-1.302;-0.055;0.302;-0.987;0.302;-0.279;0.83;1.652;-0.987;0.302;-0.279;0.009","-0.862;-0.733;1.502;-3.656;-1.505;-3.656;-0.544;3.097;1.33;-1.505;-3.656;-0.544;0.672","-1.02;1.57;0.44;-0.259;1.266;-0.259;1.242;-0.838;1.045;1.266;-0.259;1.242;-2.128","-0.255;-0.146;2.897;-3.242;-0.912;-3.242;-1.262;1.512;2.064;-0.912;-3.242;-1.262;-0.184",-0.205923077,-0.002076923,-0.773846154,0.254461538,-0.629692308,1.060485695,0.801566951,2.09730517,1.142791802,1.963942734
"Neutralizing","IGHV3-53","IGHJ4","IGHD4-17","IGHV3-53.IGHJ4",332,285,8,7,13,0,2,0,0,0,0,98.8,1.2,2,1,1,1,"-0.384;-1.006;-0.032;-1.337;-0.228;-0.228;0.945;0.26","1.652;-0.59;0.326;-0.279;1.399;1.399;0.828;0.83","1.33;1.891;2.213;-0.544;-4.76;-4.76;1.299;3.097","1.045;-0.397;0.908;1.242;0.67;0.67;-0.169;-0.838","2.064;0.412;1.313;-1.262;-2.647;-2.647;0.933;1.512",-0.25125,0.695625,-0.02925,0.391375,-0.04025,0.70788069,0.817579518,3.096662985,0.757804335,1.886165555,"-1.006;0.26;-0.228;-0.384;-0.384;-0.228;-0.032","-0.59;0.83;1.399;1.652;1.652;1.399;0.326","1.891;3.097;-4.76;1.33;1.33;-4.76;2.213","-0.397;-0.838;0.67;1.045;1.045;0.67;0.908","0.412;1.512;-2.647;2.064;2.064;-2.647;1.313",-0.286,0.952571429,0.048714286,0.443285714,0.295857143,0.388794719,0.8330806,3.339187711,0.751737036,2.085687211,"-1.343;-0.591;1.538;1.05;0.26;-0.384;1.05;-1.019;0.26;-1.006;1.05;0.26;-0.595","0.465;-1.302;-0.055;0.302;0.83;1.652;0.302;-0.987;0.83;-0.59;0.302;0.83;0.009","-0.862;-0.733;1.502;-3.656;3.097;1.33;-3.656;-1.505;3.097;1.891;-3.656;3.097;0.672","-1.02;1.57;0.44;-0.259;-0.838;1.045;-0.259;1.266;-0.838;-0.397;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;-3.242;1.512;2.064;-3.242;-0.912;1.512;0.412;-3.242;1.512;-0.184",0.040769231,0.199076923,0.047538462,-0.193461538,-0.101076923,0.93803626,0.805760972,2.58910511,1.036866,2.082300389
"Neutralizing","IGHV3-53","IGHJ4","IGHD4-17","IGHV3-53.IGHJ4",332,285,8,7,13,0,1,0,0,0,0,98.49,1.51,4,0,4,Inf,"-0.384;-1.006;-0.032;-1.337;-0.228;-0.228;0.945;0.26","1.652;-0.59;0.326;-0.279;1.399;1.399;0.828;0.83","1.33;1.891;2.213;-0.544;-4.76;-4.76;1.299;3.097","1.045;-0.397;0.908;1.242;0.67;0.67;-0.169;-0.838","2.064;0.412;1.313;-1.262;-2.647;-2.647;0.933;1.512",-0.25125,0.695625,-0.02925,0.391375,-0.04025,0.70788069,0.817579518,3.096662985,0.757804335,1.886165555,"-1.239;0.26;-0.228;-0.384;-0.384;-0.228;-0.032","-0.547;0.83;1.399;1.652;1.652;1.399;0.326","2.131;3.097;-4.76;1.33;1.33;-4.76;2.213","0.393;-0.838;0.67;1.045;1.045;0.67;0.908","0.816;1.512;-2.647;2.064;2.064;-2.647;1.313",-0.319285714,0.958714286,0.083,0.556142857,0.353571429,0.463505021,0.819864158,3.362407768,0.658020118,2.095005557,"-1.343;-0.591;1.538;1.05;-1.006;-0.384;1.05;-1.006;0.26;-1.006;1.05;0.26;-0.595","0.465;-1.302;-0.055;0.302;-0.59;1.652;0.302;-0.59;0.83;-0.59;0.302;0.83;0.009","-0.862;-0.733;1.502;-3.656;1.891;1.33;-3.656;1.891;3.097;1.891;-3.656;3.097;0.672","-1.02;1.57;0.44;-0.259;-0.397;1.045;-0.259;-0.397;-0.838;-0.397;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;-3.242;0.412;2.064;-3.242;0.412;1.512;0.412;-3.242;1.512;-0.184",-0.055615385,0.120384615,0.216,-0.287461538,-0.083846154,0.977175056,0.77195364,2.502661284,0.927524628,2.02679389
"Neutralizing","IGHV1-2","IGHJ3","IGHD3-10","IGHV1-2.IGHJ3",337,288,8,8,21,14,7,0,0,0,0,97.92,2.08,5,2,3,1.5,"-0.384;0.26;-0.032;-1.006;-0.032;-0.384;0.26;0.26","1.652;0.83;0.326;-0.59;0.326;1.652;0.83;0.83","1.33;3.097;2.213;1.891;2.213;1.33;3.097;3.097","1.045;-0.838;0.908;-0.397;0.908;1.045;-0.838;-0.838","2.064;1.512;1.313;0.412;1.313;2.064;1.512;1.512",-0.13225,0.732,2.2835,0.124375,1.46275,0.442698785,0.736688343,0.752867661,0.923778412,0.518129259,"-1.239;-0.228;0.189;0.945;-0.228;-0.384;-0.384;-0.032","-0.547;1.399;2.081;0.828;1.399;1.652;1.652;0.326","2.131;-4.76;-1.628;1.299;-4.76;1.33;1.33;2.213","0.393;0.67;0.421;-0.169;0.67;1.045;1.045;0.908","0.816;-2.647;-1.392;0.933;-2.647;2.064;2.064;1.313",-0.170125,1.09875,-0.355625,0.622875,0.063,0.613215282,0.856590209,2.966902229,0.407567501,1.98924379,"-1.343;-0.591;-0.032;1.357;-0.228;-0.595;-1.337;0.26;-0.384;-0.228;-0.384;-0.228;0.26;-0.228;-0.228;-0.384;-0.591;-1.006;1.05;-1.239;-0.595","0.465;-1.302;0.326;-1.453;1.399;0.009;-0.279;0.83;1.652;1.399;1.652;1.399;0.83;1.399;1.399;1.652;-1.302;-0.59;0.302;-0.547;0.009","-0.862;-0.733;2.213;1.477;-4.76;0.672;-0.544;3.097;1.33;-4.76;1.33;-4.76;3.097;-4.76;-4.76;1.33;-0.733;1.891;-3.656;2.131;0.672","-1.02;1.57;0.908;0.113;0.67;-2.128;1.242;-0.838;1.045;0.67;1.045;0.67;-0.838;0.67;0.67;1.045;1.57;-0.397;-0.259;0.393;-2.128","-0.255;-0.146;1.313;-0.837;-2.647;-0.184;-1.262;1.512;2.064;-2.647;2.064;-2.647;1.512;-2.647;-2.647;2.064;-0.146;0.412;-3.242;0.816;-0.184",-0.318761905,0.440428571,-0.528,0.22252381,-0.368285714,0.677999108,1.04685785,2.859213668,1.087913444,1.803829458
"Neutralizing","IGHV1-2","IGHJ4","IGHD1-26","IGHV1-2.IGHJ4",335,288,8,8,15,5,1,0,1,0,0,96.12,3.88,12,5,7,1.4,"-0.384;0.26;-1.239;-1.006;-0.228;-0.384;0.26;0.26","1.652;0.83;-0.547;-0.59;1.399;1.652;0.83;0.83","1.33;3.097;2.131;1.891;-4.76;1.33;3.097;3.097","1.045;-0.838;0.393;-0.397;0.67;1.045;-0.838;-0.838","2.064;1.512;0.816;0.412;-2.647;2.064;1.512;1.512",-0.307625,0.757,1.401625,0.03025,0.905625,0.57814826,0.890026163,2.60138007,0.848900087,1.54270541,"-1.239;-0.228;0.189;1.05;-0.228;-0.384;-0.384;-0.032","-0.547;1.399;2.081;0.302;1.399;1.652;1.652;0.326","2.131;-4.76;-1.628;-3.656;-4.76;1.33;1.33;2.213","0.393;0.67;0.421;-0.259;0.67;1.045;1.045;0.908","0.816;-2.647;-1.392;-3.242;-2.647;2.064;2.064;1.313",-0.157,1.033,-0.975,0.611625,-0.458875,0.640987408,0.899456026,3.086913623,0.432996845,2.257904619,"-1.343;-0.591;1.538;-0.384;0.189;1.538;0.26;-0.228;-0.384;-0.032;0.26;-1.006;1.05;0.26;-0.595","0.465;-1.302;-0.055;1.652;2.081;-0.055;0.83;1.399;1.652;0.326;0.83;-0.59;0.302;0.83;0.009","-0.862;-0.733;1.502;1.33;-1.628;1.502;3.097;-4.76;1.33;2.213;3.097;1.891;-3.656;3.097;0.672","-1.02;1.57;0.44;1.045;0.421;0.44;-0.838;0.67;1.045;0.908;-0.838;-0.397;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;2.064;-1.392;2.897;1.512;-2.647;2.064;1.313;1.512;0.412;-3.242;1.512;-0.184",0.035466667,0.558266667,0.539466667,0.014733333,0.554466667,0.841764801,0.91029371,2.410366862,1.013611116,1.871231255
"Neutralizing","IGHV1-2","IGHJ4","IGHD1-26","IGHV1-2.IGHJ4",335,288,8,8,15,5,1,0,1,0,0,97.01,2.99,9,1,8,8,"-0.384;0.26;-1.239;-1.006;-0.228;-0.384;0.26;0.26","1.652;0.83;-0.547;-0.59;1.399;1.652;0.83;0.83","1.33;3.097;2.131;1.891;-4.76;1.33;3.097;3.097","1.045;-0.838;0.393;-0.397;0.67;1.045;-0.838;-0.838","2.064;1.512;0.816;0.412;-2.647;2.064;1.512;1.512",-0.307625,0.757,1.401625,0.03025,0.905625,0.57814826,0.890026163,2.60138007,0.848900087,1.54270541,"-1.239;-0.228;0.189;1.05;-0.228;-0.384;-0.384;-0.032","-0.547;1.399;2.081;0.302;1.399;1.652;1.652;0.326","2.131;-4.76;-1.628;-3.656;-4.76;1.33;1.33;2.213","0.393;0.67;0.421;-0.259;0.67;1.045;1.045;0.908","0.816;-2.647;-1.392;-3.242;-2.647;2.064;2.064;1.313",-0.157,1.033,-0.975,0.611625,-0.458875,0.640987408,0.899456026,3.086913623,0.432996845,2.257904619,"-1.343;-0.591;1.538;-0.384;0.189;1.538;0.26;-0.228;-0.384;-0.032;0.26;-1.006;1.05;0.26;-0.595","0.465;-1.302;-0.055;1.652;2.081;-0.055;0.83;1.399;1.652;0.326;0.83;-0.59;0.302;0.83;0.009","-0.862;-0.733;1.502;1.33;-1.628;1.502;3.097;-4.76;1.33;2.213;3.097;1.891;-3.656;3.097;0.672","-1.02;1.57;0.44;1.045;0.421;0.44;-0.838;0.67;1.045;0.908;-0.838;-0.397;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;2.064;-1.392;2.897;1.512;-2.647;2.064;1.313;1.512;0.412;-3.242;1.512;-0.184",0.035466667,0.558266667,0.539466667,0.014733333,0.554466667,0.841764801,0.91029371,2.410366862,1.013611116,1.871231255
"Neutralizing","IGHV1-2","IGHJ4","IGHD1-26","IGHV1-2.IGHJ4",335,288,8,8,15,5,3,0,1,0,0,95.52,4.48,13,2,11,5.5,"-0.384;0.26;-1.239;0.26;-0.228;-0.384;0.26;-1.006","1.652;0.83;-0.547;0.83;1.399;1.652;0.83;-0.59","1.33;3.097;2.131;3.097;-4.76;1.33;3.097;1.891","1.045;-0.838;0.393;-0.838;0.67;1.045;-0.838;-0.397","2.064;1.512;0.816;1.512;-2.647;2.064;1.512;0.412",-0.307625,0.757,1.401625,0.03025,0.905625,0.57814826,0.890026163,2.60138007,0.848900087,1.54270541,"-1.239;-0.228;0.189;1.05;-0.228;-0.384;-0.384;-0.591","-0.547;1.399;2.081;0.302;1.399;1.652;1.652;-1.302","2.131;-4.76;-1.628;-3.656;-4.76;1.33;1.33;-0.733","0.393;0.67;0.421;-0.259;0.67;1.045;1.045;1.57","0.816;-2.647;-1.392;-3.242;-2.647;2.064;2.064;-0.146",-0.226875,0.8295,-1.34325,0.694375,-0.64125,0.655713883,1.212095352,2.81611702,0.546190427,2.150720726,"-1.343;-0.591;1.538;-0.384;0.189;1.538;0.26;-0.228;-0.384;-0.032;0.336;-1.006;1.05;0.26;-0.595","0.465;-1.302;-0.055;1.652;2.081;-0.055;0.83;1.399;1.652;0.326;-0.417;-0.59;0.302;0.83;0.009","-0.862;-0.733;1.502;1.33;-1.628;1.502;3.097;-4.76;1.33;2.213;-1.673;1.891;-3.656;3.097;0.672","-1.02;1.57;0.44;1.045;0.421;0.44;-0.838;0.67;1.045;0.908;-1.474;-0.397;-0.259;-0.838;-2.128","-0.255;-0.146;2.897;2.064;-1.392;2.897;1.512;-2.647;2.064;1.313;-0.078;0.412;-3.242;1.512;-0.184",0.040533333,0.475133333,0.221466667,-0.027666667,0.448466667,0.843439884,0.940156664,2.363038748,1.063884773,1.858103752
